model_id,model_name,model_hf_url
1,GroNLP/hateBERT,https://huggingface.co/GroNLP/hateBERT
2,ProsusAI/finbert,https://huggingface.co/ProsusAI/finbert
3,albert-base-v2,https://huggingface.co/albert-base-v2
4,bert-base-multilingual-uncased,https://huggingface.co/bert-base-multilingual-uncased
5,bert-base-uncased,https://huggingface.co/bert-base-uncased
6,bert-large-uncased,https://huggingface.co/bert-large-uncased
7,bert-large-uncased-whole-word-masking-finetuned-squad,https://huggingface.co/bert-large-uncased-whole-word-masking-finetuned-squad
8,cardiffnlp/twitter-roberta-base-sentiment-latest,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
9,deepset/roberta-base-squad2,https://huggingface.co/deepset/roberta-base-squad2
10,distilbert-base-uncased,https://huggingface.co/distilbert-base-uncased
11,distilbert-base-uncased-distilled-squad,https://huggingface.co/distilbert-base-uncased-distilled-squad
12,distilbert-base-uncased-finetuned-sst-2-english,https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english
13,distilroberta-base,https://huggingface.co/distilroberta-base
14,emilyalsentzer/Bio_ClinicalBERT,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT
15,j-hartmann/emotion-english-distilroberta-base,https://huggingface.co/j-hartmann/emotion-english-distilroberta-base
16,microsoft/deberta-base,https://huggingface.co/microsoft/deberta-base
17,nlptown/bert-base-multilingual-uncased-sentiment,https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment
18,roberta-base,https://huggingface.co/roberta-base
19,xlm-roberta-base,https://huggingface.co/xlm-roberta-base
20,zhayunduo/roberta-base-stocktwits-finetuned,https://huggingface.co/zhayunduo/roberta-base-stocktwits-finetuned